id,name,hasparent,keywords,ROR
04zaypm56,National Research Council,FALSE,,https://ror.org/04zaypm56
02kswma64,Istituto Nazionale Per La Fisica Della Materia,TRUE,,https://ror.org/02kswma64
000qsm026,Rete Ventures S.C.R.L.,TRUE,,https://ror.org/000qsm026
00w6r1881,Institute of Nanostructured Materials,TRUE,,https://ror.org/00w6r1881
01kdj2848,Istituto di Fisiologia Clinica,TRUE,,https://ror.org/01kdj2848
0240rwx68,Neuroscience Institute,TRUE,,https://ror.org/0240rwx68
01wqae691,Istituto per il sistema produzione animale in ambiente Mediterraneo,TRUE,,https://ror.org/01wqae691
01zzqep61,Istituto di Tipizzazione Tissutale e Problemi della Dialisi,TRUE,,https://ror.org/01zzqep61
054ye0e45,Istituto di Analisi dei Sistemi ed Informatica Antonio Ruberti,TRUE,,https://ror.org/054ye0e45
041xzk838,Istituto di Biofisica,TRUE,,https://ror.org/041xzk838
01dy2q607,Istituto di biomedicina e di immunologia molecolare Alberto Monroy,TRUE,,https://ror.org/01dy2q607
03qpd8w66,Istituto di Genetica Molecolare,TRUE,,https://ror.org/03qpd8w66
01ar90c17,Istituto di biologia e biotecnologia agraria,TRUE,,https://ror.org/01ar90c17
04hadk112,Institute of Genetics and Biophysics,TRUE,,https://ror.org/04hadk112
0042e5975,Istituto Nanoscienze,TRUE,,https://ror.org/0042e5975
02dp3a879,Istituto Nazionale di Ottica,TRUE,,https://ror.org/02dp3a879
04mmhnh95,Quantum Science and Technology in Arcetri,TRUE,,https://ror.org/04mmhnh95
00ag5y002,Istituto Nazionale per Studi ed Esperienze di Architettura Navale,TRUE,,https://ror.org/00ag5y002
01mfmr054,Institute for Macromolecular Studies,TRUE,,https://ror.org/01mfmr054
040xhth73,Institute of Cell Biology and Neurobiology,TRUE,,https://ror.org/040xhth73
05w9g2j85,Institute of Cognitive Sciences and Technologies,TRUE,,https://ror.org/05w9g2j85
00n4jbh84,"Institute of Electronics, Computer and Telecommunication Engineering",TRUE,,https://ror.org/00n4jbh84
02dr63s31,Institute of Genetic and Biomedical Research,TRUE,,https://ror.org/02dr63s31
00s2j5046,Institute of Molecular Bioimaging and Physiology,TRUE,,https://ror.org/00s2j5046
03ta8pf33,Istituto di Farmacologia Traslazionale,TRUE,,https://ror.org/03ta8pf33
03eqeqg74,Institute of Protein Biochemistry,TRUE,,https://ror.org/03eqeqg74
04sn06036,Institute Experimental Endocrinology and Oncology,TRUE,,https://ror.org/04sn06036
04ehykb85,Institute of Biomedical Technologies,TRUE,,https://ror.org/04ehykb85
05patmk97,Institute for Chemical and Physical Processes,TRUE,,https://ror.org/05patmk97
01nyatq71,Institute of Molecular Biology and Pathology,TRUE,,https://ror.org/01nyatq71
04smrs866,Institute of Neurobiology and Molecular Medicine,TRUE,,https://ror.org/04smrs866
01yg57d71,Institute of Neurological Sciences,TRUE,,https://ror.org/01yg57d71
0013zhk30,Institute of Food Science,TRUE,,https://ror.org/0013zhk30
03rqtqb02,Institute of Biostructure and Bioimaging,TRUE,,https://ror.org/03rqtqb02
01f5tnx94,Institute of Ionized Gas,TRUE,,https://ror.org/01f5tnx94
051npad76,Institute for Economic Research on Firms and Growth,TRUE,,https://ror.org/051npad76
02db0kh50,Water Research Institute,TRUE,,https://ror.org/02db0kh50
00n8ttd98,Institute of Atmospheric Sciences and Climate,TRUE,,https://ror.org/00n8ttd98
04xy2mq71,Trees and Timber Institute,TRUE,,https://ror.org/04xy2mq71
05kacka20,Institute of Information Science and Technologies,TRUE,,https://ror.org/05kacka20
058a2pj71,Fondazione Toscana Gabriele Monasterio,TRUE,,https://ror.org/058a2pj71
032tyv240,Institute of Molecular Science and Technologies,TRUE,,https://ror.org/032tyv240
03v4rcp75,Bologna Research Area,TRUE,,https://ror.org/03v4rcp75
00ygy3d85,Istituto per le Applicazioni del Calcolo Mauro Picone,TRUE,,https://ror.org/00ygy3d85
05813wx75,Institute for Research on Combustion,TRUE,,https://ror.org/05813wx75
051t1q308,Institute of Intelligent Systems for Automation,TRUE,,https://ror.org/051t1q308
006qkqr45,Institute for Coastal Marine Environment,TRUE,,https://ror.org/006qkqr45
024ye7w89,Institute of Methodologies for Environmental Analysis,TRUE,,https://ror.org/024ye7w89
00dqega85,Nello Carrara Institute of Applied Physics,TRUE,,https://ror.org/00dqega85
02hdf6119,Institute of Marine Science,TRUE,,https://ror.org/02hdf6119
052q58629,Institute for Advanced Energy Technologies,TRUE,,https://ror.org/052q58629
00yfw2296,Istituto Officina dei Materiali,TRUE,,https://ror.org/00yfw2296
05wba8r86,Institute of Crystallography,TRUE,,https://ror.org/05wba8r86
05rcgef49,Institute for Complex Systems,TRUE,,https://ror.org/05rcgef49
049ebw417,Istituto di Fotonica e Nanotecnologie,TRUE,,https://ror.org/049ebw417
01zz9wh30,Institute of Structure of Matter,TRUE,,https://ror.org/01zz9wh30
05vk2g845,Institute for Microelectronics and Microsystems,TRUE,,https://ror.org/05vk2g845
00z8ws214,Institute of Materials for Electronics and Magnetism,TRUE,,https://ror.org/00z8ws214
00be3zh53,Institute of Applied Science and Intelligent Systems,TRUE,,https://ror.org/00be3zh53
04xk4mv14,Institute of Agro Environmental and Forest Biology,TRUE,,https://ror.org/04xk4mv14
02fkw1114,Institute for the Chemistry of OrganoMetallic Compounds,TRUE,,https://ror.org/02fkw1114
03x7xkr71,Institute of Sciences of Food Production,TRUE,,https://ror.org/03x7xkr71
02wxw4x45,Istituto per il Rilevamento Elettromagnetico dell'Ambiente,TRUE,,https://ror.org/02wxw4x45
02gdcn153,Institute of Informatics and Telematics,TRUE,,https://ror.org/02gdcn153
01as2bh37,Institute of Legal Information Theory and Techniques,TRUE,,https://ror.org/01as2bh37
01gtsa866,Institute of Biosciences and Bioresources,TRUE,,https://ror.org/01gtsa866
00p03yg71,"Institute for superconductors, oxides and other innovative materials and devices",TRUE,,https://ror.org/00p03yg71
058nrs650,Institute on Membrane Technology,TRUE,,https://ror.org/058nrs650
015bmra78,Institute of Geosciences and Earth Resources,TRUE,,https://ror.org/015bmra78
00awwz417,Istituto per la Storia del Pensiero Filosofico e Scientifico Moderno,TRUE,,https://ror.org/00awwz417
01y5w6t76,Organs Tranplantation and Immunology Institute,TRUE,,https://ror.org/01y5w6t76
029k6t707,Institute of Ecosystem Study,TRUE,,https://ror.org/029k6t707
02n2bgz18,Institute of Plasma Physics,TRUE,,https://ror.org/02n2bgz18
01rg40y89,Institute of Condensed Matter Chemistry and Technologies for Energy,TRUE,,https://ror.org/01rg40y89
0040zx077,Research Institute for Geo-Hydrological Protection,TRUE,,https://ror.org/0040zx077
03a0vt050,Institute of Inorganic Methodologies and Plasmas,TRUE,,https://ror.org/03a0vt050
00bc51d88,Istituto di Nanotecnologia,TRUE,,https://ror.org/00bc51d88
01j6drw72,Institute of Science and Technology for Ceramics,TRUE,,https://ror.org/01j6drw72
05cdfm144,Istituto di Cibernetica “Eduardo Caianiello”,TRUE,,https://ror.org/05cdfm144
01jt38m64,Institute for Energetics and Interphases,TRUE,,https://ror.org/01jt38m64
021z1mz76,Institute of Organic Synthesis and Photoreactivity,TRUE,,https://ror.org/021z1mz76
05hky6p02,Institute of Atmospheric Pollution Research,TRUE,,https://ror.org/05hky6p02
03m0n3c07,Istituto di Matematica Applicata e Tecnologie Informatiche,TRUE,,https://ror.org/03m0n3c07
03a111314,Institute of History of Mediterranean Europe,TRUE,,https://ror.org/03a111314
035y5td47,Institute for International Legal Studies,TRUE,,https://ror.org/035y5td47
05nzf7q96,"Institute of Biomembranes, Bioenergetics and Molecular Biotechnologies",TRUE,,https://ror.org/05nzf7q96
05k3cs357,"Institute for the Study of Regionalism, Federalism and Self-Government",TRUE,,https://ror.org/05k3cs357
02gcxw165,Istituto di Studi sul Mediterraneo Antico,TRUE,,https://ror.org/02gcxw165
05db0es39,Institute of Studies on Mediterranean Societies,TRUE,,https://ror.org/05db0es39
00brf2d87,"Institute of Acoustics and Sensors ""Orso Mario Corbino""",TRUE,,https://ror.org/00brf2d87
008fjbg42,Institute for Sustainable Plant Protection,TRUE,,https://ror.org/008fjbg42
05m1yqp60,Istituto di Biometeorologia,TRUE,,https://ror.org/05m1yqp60
04r5fge26,Institute for high performance computing and networking,TRUE,,https://ror.org/04r5fge26
02qwy8e97,Istituto Motori,TRUE,,https://ror.org/02qwy8e97
02rzxrg25,Opera del Vocabolario Italiano,TRUE,,https://ror.org/02rzxrg25
0141vn777,Institute of Chemistry of Molecular Recognition,TRUE,,https://ror.org/0141vn777
028g3pe33,Institute for Computational Linguistics “A. Zampolli”,TRUE,,https://ror.org/028g3pe33
011n2hw53,Istituto per il Lessico Intellettuale Europeo e la Storia delle Idee,TRUE,,https://ror.org/011n2hw53
0263zy895,Istituto di Metodologie Chimiche,TRUE,,https://ror.org/0263zy895
00x5wpm25,Institute for Archaeological and Monumental Heritage,TRUE,,https://ror.org/00x5wpm25
05nr7xa08,"Institute of Polymers, Composites and Biomaterials",TRUE,,https://ror.org/05nr7xa08
04vnwke91,Institute for Research on Innovation and Services for Development,TRUE,,https://ror.org/04vnwke91
02ynrme92,Institute for the Conservation and Valorization of Cultural Heritage,TRUE,,https://ror.org/02ynrme92
013nxtf56,The Research Institute on Judicial Systems,TRUE,,https://ror.org/013nxtf56
00ytw6m58,Institute of Environmental Geology and Geoengineering,TRUE,,https://ror.org/00ytw6m58
045zphe57,Institute for Agricultural and Earthmoving Machines,TRUE,,https://ror.org/045zphe57
03z58xd74,Institute for the Dynamics of Environmental Processes,TRUE,,https://ror.org/03z58xd74
01n1ayq61,Institute for Research on Population and Social Policies,TRUE,,https://ror.org/01n1ayq61
0331xj092,Institute for Technologies Applied to Cultural Heritage,TRUE,,https://ror.org/0331xj092
0221agg28,Construction Technologies Institute,TRUE,,https://ror.org/0221agg28
02xz4xc25,Istituto per le Tecnologie Didattiche,TRUE,,https://ror.org/02xz4xc25
