id,name,hasparent,keywords,ROR
01bj3aw27,United States Department of Energy,FALSE,,https://ror.org/01bj3aw27
01qz5mb56,Oak Ridge National Laboratory,TRUE,,https://ror.org/01qz5mb56
05277x335,Joint Institute for Computational Sciences,TRUE,,https://ror.org/05277x335
01e41cf67,Los Alamos National Laboratory,TRUE,,https://ror.org/01e41cf67
03s53g630,National High Magnetic Field Laboratory,TRUE,,https://ror.org/03s53g630
02jbv0t02,Lawrence Berkeley National Laboratory,TRUE,,https://ror.org/02jbv0t02
05gvnxz63,Argonne National Laboratory,TRUE,,https://ror.org/05gvnxz63
02ex6cf31,Brookhaven National Laboratory,TRUE,,https://ror.org/02ex6cf31
041nk4h53,Lawrence Livermore National Laboratory,TRUE,,https://ror.org/041nk4h53
00ty2a548,Idaho National Laboratory,TRUE,,https://ror.org/00ty2a548
020hgte69,Fermilab,TRUE,,https://ror.org/020hgte69
036266993,National Renewable Energy Laboratory,TRUE,,https://ror.org/036266993
01h04ms65,United States Energy Information Administration,TRUE,,https://ror.org/01h04ms65
05gzmn429,SLAC National Accelerator Laboratory,TRUE,,https://ror.org/05gzmn429
05vc7qy59,Savannah River National Laboratory,TRUE,,https://ror.org/05vc7qy59
05h992307,Pacific Northwest National Laboratory,TRUE,,https://ror.org/05h992307
04xm1d337,Joint Genome Institute,TRUE,,https://ror.org/04xm1d337
041m9xr71,Ames Laboratory,TRUE,,https://ror.org/041m9xr71
03vn1ts68,Princeton Plasma Physics Laboratory,TRUE,,https://ror.org/03vn1ts68
01x26mz03,National Energy Technology Laboratory,TRUE,,https://ror.org/01x26mz03
03ww55028,Joint BioEnergy Institute,TRUE,,https://ror.org/03ww55028
03q1rgc19,Advanced Research Projects Agency-Energy,TRUE,,https://ror.org/03q1rgc19
02xznz413,Office of Energy Efficiency and Renewable Energy,TRUE,,https://ror.org/02xznz413
00f93gc02,Vehicle Technologies Office,TRUE,,https://ror.org/00f93gc02
03sk1we31,National Nuclear Security Administration,TRUE,,https://ror.org/03sk1we31
05tj7dm33,Office of Nuclear Energy,TRUE,,https://ror.org/05tj7dm33
04d8cf622,International Partnership for the Hydrogen and Fuel Cell in the Economy,TRUE,,https://ror.org/04d8cf622
00mmn6b08,Office of Science,TRUE,,https://ror.org/00mmn6b08
0114b2m14,Office of Biological and Environmental Research,TRUE,,https://ror.org/0114b2m14
05mg91w61,Office of Basic Energy Sciences,TRUE,,https://ror.org/05mg91w61
02atag894,Office of Nuclear Physics,TRUE,,https://ror.org/02atag894
02n3j8t12,Office of Fusion Energy Sciences,TRUE,,https://ror.org/02n3j8t12
0012c7r22,Office of Advanced Scientific Computing Research,TRUE,,https://ror.org/0012c7r22
031478740,Office of Scientific and Technical Information,TRUE,,https://ror.org/031478740
grid.507522.7,Office of High Energy Physics,TRUE,,
grid.507523.6,Office of Workforce Development for Teachers and Scientists,TRUE,,
03ery9d53,Office of Fossil Energy,TRUE,,https://ror.org/03ery9d53
033jmdj81,Solar Energy Technologies Office,TRUE,,https://ror.org/033jmdj81
03rd4h240,Office of Electricity Delivery and Energy Reliability,TRUE,,https://ror.org/03rd4h240
0054t4769,Office of the General Counse,TRUE,,https://ror.org/0054t4769
03eecgp81,Office of Under Secretary of Energy for Science,TRUE,,https://ror.org/03eecgp81
00heb4d89,Geothermal Technologies Office,TRUE,,https://ror.org/00heb4d89
05ek3m339,Office of International Affairs,TRUE,,https://ror.org/05ek3m339
01ca2by25,Great Lakes Bioenergy Research Center,TRUE,,https://ror.org/01ca2by25
00km40770,Office of Environmental Management,TRUE,,https://ror.org/00km40770
02ah1da87,Office of Management,TRUE,,https://ror.org/02ah1da87
05hhm9a98,Savannah River Operations Office,TRUE,,https://ror.org/05hhm9a98
05hsv7e61,Office of Economic Impact and Diversity,TRUE,,https://ror.org/05hsv7e61
01apwpt12,Sandia National Laboratories,TRUE,,https://ror.org/01apwpt12
058m7ey48,Sandia National Laboratories California,TRUE,,https://ror.org/058m7ey48
01c9ay627,"Office of Environmental Protection, Sustainability Support and Corporate Safety Analysis",TRUE,,https://ror.org/01c9ay627
04z2gev20,Office of Health and Safety,TRUE,,https://ror.org/04z2gev20
02z1qvq09,Office of Intelligence and Counterintelligence,TRUE,,https://ror.org/02z1qvq09
03jf3w726,Office of Legacy Management,TRUE,,https://ror.org/03jf3w726
04848jz84,Office of Nuclear Safety,TRUE,,https://ror.org/04848jz84
04s778r16,Office of Space and Defense Power Systems,TRUE,,https://ror.org/04s778r16
04nnxen11,Office of Inspector General,TRUE,,https://ror.org/04nnxen11
05csy5p27,Fuel Cell Technologies Office,TRUE,,https://ror.org/05csy5p27
00qq8bd87,Consortium for the Advanced Simulation of Light Water Reactors,TRUE,,https://ror.org/00qq8bd87
