id,name,hasparent,keywords,ROR
01hhn8329,Max Planck Society,FALSE,,https://ror.org/01hhn8329
01ngpvg12,Max Planck Institute for Iron Research,TRUE,,https://ror.org/01ngpvg12
000bxzc63,Max Planck Institute for Medical Research,TRUE,,https://ror.org/000bxzc63
04vh1tq58,Friedrich Miescher Laboratory,TRUE,,https://ror.org/04vh1tq58
03k9qs827,Fritz Haber Institute of the Max Planck Society,TRUE,,https://ror.org/03k9qs827
0165r2y73,Max Planck Institute for Heart and Lung Research,TRUE,,https://ror.org/0165r2y73
0199g0r92,Max Planck Institute for Metabolism Research,TRUE,,https://ror.org/0199g0r92
03e76ya46,Max Planck Institute for Biophysical Chemistry,TRUE,,https://ror.org/03e76ya46
0046gcs23,Max Planck Institute for Infection Biology,TRUE,,https://ror.org/0046gcs23
02ks53214,Max Planck Institute for Chemical Ecology,TRUE,,https://ror.org/02ks53214
01fbde567,Max Planck Institute of Molecular Plant Physiology,TRUE,,https://ror.org/01fbde567
03vpj4s62,Max Planck Institute of Molecular Physiology,TRUE,,https://ror.org/03vpj4s62
04py35477,Max Planck Institute of Biochemistry,TRUE,,https://ror.org/04py35477
02panr271,Max Planck Institute of Biophysics,TRUE,,https://ror.org/02panr271
022jc0g24,Max Planck Institute for Developmental Biology,TRUE,,https://ror.org/022jc0g24
044g3zk14,Max Planck Institute for Plant Breeding Research,TRUE,,https://ror.org/044g3zk14
034waa237,Cluster of Excellence on Plant Sciences,TRUE,,https://ror.org/034waa237
051yxp643,Max Planck Institute for Biogeochemistry,TRUE,,https://ror.org/051yxp643
026nmvv73,Max Planck Institute for Biological Cybernetics,TRUE,,https://ror.org/026nmvv73
04xx1tc24,Max Planck Institute for Biology of Ageing,TRUE,,https://ror.org/04xx1tc24
02h1nk258,Max Planck Institute for Brain Research,TRUE,,https://ror.org/02h1nk258
01c997669,Max Planck Institute for Chemical Physics of Solids,TRUE,,https://ror.org/01c997669
04fr7pd94,Institute for the Separation Chemistry in Marcoule,TRUE,,https://ror.org/04fr7pd94
02f5b7n18,Max Planck Institute for Chemistry,TRUE,,https://ror.org/02f5b7n18
02jgyam08,Max Planck Institute for Demographic Research,TRUE,,https://ror.org/02jgyam08
0087djs12,Max Planck Institute for Dynamics and Self Organization,TRUE,,https://ror.org/0087djs12
030h7k016,Max Planck Institute for Dynamics of Complex Technical Systems,TRUE,,https://ror.org/030h7k016
02a33b393,Max Planck Institute for Evolutionary Anthropology,TRUE,,https://ror.org/02a33b393
0534re684,Max Planck Institute for Evolutionary Biology,TRUE,,https://ror.org/0534re684
04a7f6w43,Max Planck Institute of Experimental Medicine,TRUE,,https://ror.org/04a7f6w43
0387jng26,Max Planck Institute for Human Cognitive and Brain Sciences,TRUE,,https://ror.org/0387jng26
02pp7px91,Max Planck Institute for Human Development,TRUE,,https://ror.org/02pp7px91
