id,name,hasparent,keywords,ROR
05qrfxd25,Russian Academy of Sciences,FALSE,,https://ror.org/05qrfxd25
02frkq021,Siberian Branch of the Russian Academy of Sciences,TRUE,,https://ror.org/02frkq021
03e5eem51,Budker Institute of Nuclear Physics,TRUE,,https://ror.org/03e5eem51
0277xgb12,Institute of Cytology and Genetics,TRUE,,https://ror.org/0277xgb12
02azz6x90,Institute of Theoretical and Applied Mechanics,TRUE,,https://ror.org/02azz6x90
00shc0s02,Sobolev Institute of Mathematics,TRUE,,https://ror.org/00shc0s02
01v5rbf40,Yu.G. Shafer Institute of Cosmophysical Research and Aeronomy,TRUE,,https://ror.org/01v5rbf40
04t5w6b17,Lavrentyev Institute of Hydrodynamics,TRUE,,https://ror.org/04t5w6b17
008kv0w14,Siberian Center for Environmental Research and Training,TRUE,,https://ror.org/008kv0w14
04rf83d41,East-Siberian Institute of the Ministry of Internal Affairs of the Russian Federation,TRUE,,https://ror.org/04rf83d41
03g1eje15,Siberian Independent Institute,TRUE,,https://ror.org/03g1eje15
05swf4h71,Siberian Institute of Business and Information Technologies,TRUE,,https://ror.org/05swf4h71
02375ts60,New Siberian Institute,TRUE,,https://ror.org/02375ts60
01473qm81,Siberian Institute of Business Management and Psychology,TRUE,,https://ror.org/01473qm81
02vbq0s06,Siberian Law Institute of Russian Federal Drug Control Service,TRUE,,https://ror.org/02vbq0s06
04wteqw51,Institute for System Dynamics and Control Theory,TRUE,,https://ror.org/04wteqw51
045xd0268,Institute of the Earth’s Crust,TRUE,,https://ror.org/045xd0268
00c6xwj41,Institute of Chemistry and Chemical Technology,TRUE,,https://ror.org/00c6xwj41
006btmz82,Institute of Systematics and Ecology of Animals,TRUE,,https://ror.org/006btmz82
05m3tag45,Institute of Archaeology and Ethnography,TRUE,,https://ror.org/05m3tag45
02qpqb855,Institute of History,TRUE,,https://ror.org/02qpqb855
011nbgj79,Institute of Coal of the Siberian Branch of the RAS,TRUE,,https://ror.org/011nbgj79
04faa0n67,Institute of Economics and Industrial Engineering,TRUE,,https://ror.org/04faa0n67
007ebp326,Krasnoyarsk Scientific Center,TRUE,,https://ror.org/007ebp326
05pp7qy10,Institute of Hydrocarbon Processing,TRUE,,https://ror.org/05pp7qy10
