id,parent
african_and_african_american_studies,faculty_of_arts_and_sciences
antropology,faculty_of_arts_and_sciences
applied_mathematics,school_of_engineering_and_applied_sciences
applied_physics,school_of_engineering_and_applied_sciences
art_film_and_visual_studies,faculty_of_arts_and_sciences
astronomy,faculty_of_arts_and_sciences
bioengineering,school_of_engineering_and_applied_sciences
business_school,harvard_university
celtic_languages_and_literatures,faculty_of_arts_and_sciences
center_for_astrophysics,harvard_university
chemistry_and_chemical_biology,faculty_of_arts_and_sciences
comparative_literature,faculty_of_arts_and_sciences
computer_science,school_of_engineering_and_applied_sciences
dental_school,harvard_university
divinity_school,harvard_university
earth_and_planetary_sciences,faculty_of_arts_and_sciences
east_asian_languages_and_civilizations,faculty_of_arts_and_sciences
economics,faculty_of_arts_and_sciences
electrical_engineering,school_of_engineering_and_applied_sciences
english,faculty_of_arts_and_sciences
environmental_science_&_engineering,school_of_engineering_and_applied_sciences
faculty_of_arts_and_sciences,harvard_university
germanic_languages_and_literatures,faculty_of_arts_and_sciences
government,faculty_of_arts_and_sciences
graduate_school_of_arts_and_sciences,harvard_university
harvard-yenching_institute,harvard_university
harvard_college_observatory,harvard_university
harvard_forest,faculty_of_arts_and_sciences
history,faculty_of_arts_and_sciences
history_of_art_and_architecture,faculty_of_arts_and_sciences
history_of_science,faculty_of_arts_and_sciences
human_evolutionary_biology,faculty_of_arts_and_sciences
kennedy_school_of_government,harvard_university
laboratory_for_particle_physics_and_cosmology,faculty_of_arts_and_sciences
law_school,harvard_university
linguistics,faculty_of_arts_and_sciences
materials_science_&_mechanical_engineering,school_of_engineering_and_applied_sciences
mathematics,faculty_of_arts_and_sciences
medical_school,harvard_university
molecular_and_cellular_biology,faculty_of_arts_and_sciences
music,faculty_of_arts_and_sciences
near_eastern_languages_and_civilizations,faculty_of_arts_and_sciences
organismic_and_evolutionary_biology,faculty_of_arts_and_sciences
philosophy,faculty_of_arts_and_sciences
physics,faculty_of_arts_and_sciences
psychology,faculty_of_arts_and_sciences
radcliffe_institute,harvard_university
romance_languages_and_literatures,faculty_of_arts_and_sciences
school_of_design,harvard_university
school_of_engineering_and_applied_sciences,harvard_university
slavic_languages_and_literatures,faculty_of_arts_and_sciences
sociology,faculty_of_arts_and_sciences
south_asian_studies,faculty_of_arts_and_sciences
statistics,faculty_of_arts_and_sciences
stem_cell_and_regenerative_biology,faculty_of_arts_and_sciences
the_classics,faculty_of_arts_and_sciences
