title,notation,label
"01.0000-Agriculture, General.",01.0000,"Agriculture, General."
"01.0101-Agricultural Business and Management, General.",01.0101,"Agricultural Business and Management, General."
01.0102-Agribusiness/Agricultural Business Operations.,01.0102,Agribusiness/Agricultural Business Operations.
01.0103-Agricultural Economics.,01.0103,Agricultural Economics.
01.0104-Farm/Farm and Ranch Management.,01.0104,Farm/Farm and Ranch Management.
01.0105-Agricultural/Farm Supplies Retailing and Wholesaling.,01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.
01.0106-Agricultural Business Technology/Technician.,01.0106,Agricultural Business Technology/Technician.
"01.0199-Agricultural Business and Management, Other.",01.0199,"Agricultural Business and Management, Other."
"01.0201-Agricultural Mechanization, General.",01.0201,"Agricultural Mechanization, General."
01.0204-Agricultural Power Machinery Operation.,01.0204,Agricultural Power Machinery Operation.
01.0205-Agricultural Mechanics and Equipment/Machine Technology/Technician.,01.0205,Agricultural Mechanics and Equipment/Machine Technology/Technician.
01.0207-Irrigation Management Technology/Technician.,01.0207,Irrigation Management Technology/Technician.
"01.0299-Agricultural Mechanization, Other.",01.0299,"Agricultural Mechanization, Other."
"01.0301-Agricultural Production Operations, General.",01.0301,"Agricultural Production Operations, General."
01.0302-Animal/Livestock Husbandry and Production.,01.0302,Animal/Livestock Husbandry and Production.
01.0303-Aquaculture.,01.0303,Aquaculture.
01.0304-Crop Production.,01.0304,Crop Production.
01.0306-Dairy Husbandry and Production.,01.0306,Dairy Husbandry and Production.
01.0307-Horse Husbandry/Equine Science and Management.,01.0307,Horse Husbandry/Equine Science and Management.
01.0308-Agroecology and Sustainable Agriculture.,01.0308,Agroecology and Sustainable Agriculture.
01.0309-Viticulture and Enology.,01.0309,Viticulture and Enology.
01.0310-Apiculture.,01.0310,Apiculture.
"01.0399-Agricultural Production Operations, Other.",01.0399,"Agricultural Production Operations, Other."
01.0401-Agricultural and Food Products Processing.,01.0401,Agricultural and Food Products Processing.
01.0504-Dog/Pet/Animal Grooming.,01.0504,Dog/Pet/Animal Grooming.
01.0505-Animal Training.,01.0505,Animal Training.
01.0507-Equestrian/Equine Studies.,01.0507,Equestrian/Equine Studies.
01.0508-Taxidermy/Taxidermist.,01.0508,Taxidermy/Taxidermist.
01.0509-Farrier Science.,01.0509,Farrier Science.
"01.0599-Agricultural and Domestic Animal Services, Other.",01.0599,"Agricultural and Domestic Animal Services, Other."
"01.0601-Applied Horticulture/Horticulture Operations, General.",01.0601,"Applied Horticulture/Horticulture Operations, General."
01.0603-Ornamental Horticulture.,01.0603,Ornamental Horticulture.
01.0604-Greenhouse Operations and Management.,01.0604,Greenhouse Operations and Management.
01.0605-Landscaping and Groundskeeping.,01.0605,Landscaping and Groundskeeping.
01.0606-Plant Nursery Operations and Management.,01.0606,Plant Nursery Operations and Management.
01.0607-Turf and Turfgrass Management.,01.0607,Turf and Turfgrass Management.
