title,notation,label
1102.01-Analogy,1102.01,Analogy
1102.02-Boolean Algebra,1102.02,Boolean Algebra
1102.03-Formal Logic,1102.03,Formal Logic
1102.04-Formalized languages,1102.04,Formalized languages
1102.05-Formal systems,1102.05,Formal systems
1102.06-Foundations of mathematics,1102.06,Foundations of mathematics
1102.07-Generalization,1102.07,Generalization
1102.08-Mathematical logic,1102.08,Mathematical logic
1102.09-Modal Logic,1102.09,Modal Logic
1102.10-Model theory,1102.10,Model theory
1102.11-Proff theory,1102.11,Proff theory
1102.12-Propositional Calculus,1102.12,Propositional Calculus
1102.13-Recursive functions,1102.13,Recursive functions
1102.14-Symbolic logic,1102.14,Symbolic logic
1102.15-Theory of formal languages,1102.15,Theory of formal languages
1102.99-Other (specify),1102.99,Other (specify)
1104.01-Induction,1104.01,Induction
1104.02-Intuitionism,1104.02,Intuitionism
1104.03-Probability,1104.03,Probability
1104.99-Other (specify),1104.99,Other (specify)
1105.01-Scientific method,1105.01,Scientific method
1105.99-Other (specify),1105.99,Other (specify)
1201.01-Algebraic geometry,1201.01,Algebraic geometry
1201.02-Axiomatic set theory,1201.02,Axiomatic set theory
1201.03-Category theory,1201.03,Category theory
1201.04-Differential algebra,1201.04,Differential algebra
"1201.05-Fields, rings, algebra",1201.05,"Fields, rings, algebra"
"1201.06-Groups, generalizations",1201.06,"Groups, generalizations"
1201.07-Homological algebra,1201.07,Homological algebra
1201.08-Lattices,1201.08,Lattices
1201.09-Lie algebra,1201.09,Lie algebra
1201.10-Linear algebra,1201.10,Linear algebra
1201.11-Matrix theory,1201.11,Matrix theory
1201.12-Non-associative algebras,1201.12,Non-associative algebras
1201.13-Polynomials,1201.13,Polynomials
1201.14-Representation theory,1201.14,Representation theory
1201.99-Other (specify),1201.99,Other (specify)
1202.01-Algebra of operators,1202.01,Algebra of operators
1202.02-Approximation theory,1202.02,Approximation theory
1202.03-Banach spaces and algebras,1202.03,Banach spaces and algebras
1202.04-Calculus of variations,1202.04,Calculus of variations
1202.05-Combinatorial analysis,1202.05,Combinatorial analysis
"1202.06-Convexity, Inequalities",1202.06,"Convexity, Inequalities"
1202.07-Difference equations,1202.07,Difference equations
1202.08-Functional equations,1202.08,Functional equations
1202.09-Functions of a complex variable,1202.09,Functions of a complex variable
1202.10-Functions of real variables,1202.10,Functions of real variables
1202.11-Functions of several complex variables,1202.11,Functions of several complex variables
1202.12-Global Analysis,1202.12,Global Analysis
1202.13-Harmonic analysis,1202.13,Harmonic analysis
1202.14-Hilbert Spaces,1202.14,Hilbert Spaces
1202.15-Integral equations,1202.15,Integral equations
1202.16-Integral transforms,1202.16,Integral transforms
"1202.17-Measure, integration, area",1202.17,"Measure, integration, area"
1202.18-Operational calculus,1202.18,Operational calculus
1202.19-Ordinary differential equations,1202.19,Ordinary differential equations
1202.20-Partial differential equations,1202.20,Partial differential equations
1202.21-Potential theory,1202.21,Potential theory
"1202.22-Series, summability",1202.22,"Series, summability"
1202.23-Special functions,1202.23,Special functions
1202.24-Subharmonic functions,1202.24,Subharmonic functions
1202.25-Topological linear spaces,1202.25,Topological linear spaces
1202.26-Trigonometric series and integrals,1202.26,Trigonometric series and integrals
1202.99-Other (specify),1202.99,Other (specify)
1203.01-Accounting,1203.01,Accounting
1203.02-Algorithmic languages,1203.02,Algorithmic languages
1203.03-Analog computing,1203.03,Analog computing
1203.04-Artificial Intelligence,1203.04,Artificial Intelligence
1203.05-Automated manufacturing systems,1203.05,Automated manufacturing systems
1203.06-Automated quality control systems,1203.06,Automated quality control systems
1203.07-Causal modelling,1203.07,Causal modelling
1203.08-Codes and coding systems,1203.08,Codes and coding systems
1203.09-Computer-assisted design,1203.09,Computer-assisted design
1203.10-Computer-assisted instruction,1203.10,Computer-assisted instruction
1203.11-Computer software,1203.11,Computer software
1203.12-Data banks,1203.12,Data banks
1203.13-Digital computing,1203.13,Digital computing
1203.14-Environmental control systems,1203.14,Environmental control systems
1203.15-Heuristics,1203.15,Heuristics
1203.16-Hybrid computing,1203.16,Hybrid computing
1203.17-Informatics,1203.17,Informatics
1203.18-Information systems and components; design and components,1203.18,Information systems and components; design and components
1203.19-Inventory Control,1203.19,Inventory Control
1203.20-Medical monitoring systems,1203.20,Medical monitoring systems
1203.21-Navigation and space telemetry systems,1203.21,Navigation and space telemetry systems
1203.22-Production control systems,1203.22,Production control systems
1203.23-Programming languages,1203.23,Programming languages
1203.24-Programming theory,1203.24,Programming theory
1203.25-Sensors systems design,1203.25,Sensors systems design
1203.26-Simulation,1203.26,Simulation
1203.99-Other (specify),1203.99,Other (specify)
1204.01-Affine geometry,1204.01,Affine geometry
1204.02-Complex manifolds,1204.02,Complex manifolds
1204.03-Convex domains,1204.03,Convex domains
1204.04-Differential geometry,1204.04,Differential geometry
1204.05-Extremum problems,1204.05,Extremum problems
1204.06-Euclidean geometry,1204.06,Euclidean geometry
1204.07-Finite geometries,1204.07,Finite geometries
1204.08-Foundations,1204.08,Foundations
1204.09-Non-Euclidean geometries,1204.09,Non-Euclidean geometries
1204.10-Projective geometry,1204.10,Projective geometry
1204.11-Riemannian geometry,1204.11,Riemannian geometry
1204.12-Tensor Analysis,1204.12,Tensor Analysis
1204.99-Other (specify),1204.99,Other (specify)
1205.01-Algebraic numbers theory,1205.01,Algebraic numbers theory
1205.02-Analytic number theory,1205.02,Analytic number theory
1205.03-Diophantine problems,1205.03,Diophantine problems
1205.04-Elementary number theory,1205.04,Elementary number theory
1205.05-Geometry of numbers,1205.05,Geometry of numbers
1205.99-Other (specify),1205.99,Other (specify)
1206.01-Algorithms construction,1206.01,Algorithms construction
1206.02-Differential equations,1206.02,Differential equations
1206.03-Error analysis,1206.03,Error analysis
1206.04-Functional Equations,1206.04,Functional Equations
1206.05-Integral equations,1206.05,Integral equations
1206.06-Integro-differential equations,1206.06,Integro-differential equations
"1206.07-Interpolation, approximation and curve fitting",1206.07,"Interpolation, approximation and curve fitting"
1206.08-Iterative Methods,1206.08,Iterative Methods
1206.09-Linear Equations,1206.09,Linear Equations
1206.10-Matrices,1206.10,Matrices
1206.11-Numerical differentiation,1206.11,Numerical differentiation
1206.12-Ordinary differential equations,1206.12,Ordinary differential equations
1206.13-Partial differential equations,1206.13,Partial differential equations
1206.14-Quadratura,1206.14,Quadratura
1206.99-Other (specify),1206.99,Other (specify)
1207.01-Activity analysis,1207.01,Activity analysis
1207.02-Control systems,1207.02,Control systems
1207.03-Cybernetics,1207.03,Cybernetics
1207.04-Distribution and transport,1207.04,Distribution and transport
1207.05-Dynamic programming,1207.05,Dynamic programming
1207.06-Game theory,1207.06,Game theory
1207.07-Integer programming,1207.07,Integer programming
1207.08-Inventory,1207.08,Inventory
1207.09-Linear programming,1207.09,Linear programming
1207.10-Networks flow,1207.10,Networks flow
1207.11-Non-linear Ppogramming,1207.11,Non-linear Ppogramming
1207.12-Queuing,1207.12,Queuing
1207.13-Scheduling,1207.13,Scheduling
1207.14-Systems formulation,1207.14,Systems formulation
1207.15-Systems reliability,1207.15,Systems reliability
1207.99-Other (specify),1207.99,Other (specify)
1208.01-Actuarial mathematics,1208.01,Actuarial mathematics
1208.02-Analytic probability theory,1208.02,Analytic probability theory
1208.03-Application of probability,1208.03,Application of probability
1208.04-Foundations of probability,1208.04,Foundations of probability
1208.05-Limit theorems,1208.05,Limit theorems
1208.06-Markov processes,1208.06,Markov processes
1208.07-Plausibility,1208.07,Plausibility
1208.08-Stochastic processes,1208.08,Stochastic processes
1208.09-Subjective probabilities,1208.09,Subjective probabilities
1208.99-Other (specify),1208.99,Other (specify)
1209.01-Analytical statistics,1209.01,Analytical statistics
1209.02-Computing for statistics,1209.02,Computing for statistics
1209.03-Data analysis,1209.03,Data analysis
1209.04-Decision procedures and theory,1209.04,Decision procedures and theory
1209.05-Design and analysis of experiments,1209.05,Design and analysis of experiments
1209.06-Distribution-free and nonparametric methods,1209.06,Distribution-free and nonparametric methods
1209.07-Distribution and probability theory,1209.07,Distribution and probability theory
